Distillery,BarrelType,05/20/20
CAMERONBRIDGE,HHR,0.35196044695693796
INVERGORDON,BBR,0.7200000000000006
INVERGORDON,HHR,0.5912820512820512
NORTH_BRITISH,HHR,0.385410022029374
STARLAW,BBF,0.3899999999999999
ARDMORE,BBR,1.0933043983068493
AUCHROISK,HHR,1.0215588389793473
BENRINNES,BBR,0.9590091812948958
BENRINNES,HHR,0.7928591220653892
BLAIR_ATHOL,HHR,0.9863425894352579
BORDERS,BBF,1.0266666666666666
BUNNAHABHAIN,BBR,1.995833333333334
CAOL_ILA,HHR,1.61
DAILUAINE,HHR,0.7706150610077961
DEANSTON,BBR,1.46
GLEN_GARIOCH,BBF,1.4434666666666667
GLEN_MORAY,BBF,0.9715343915343916
GLEN_SPEY,BBR,0.6944444444444441
GLEN_SPEY,HHR,0.8065959444064706
INCHGOWER,HHR,0.7450102396736531
KIRKCOWAN,BBF,0.9381666666666668
STRATHENRY,BBR,0.6676
TEANINICH,HHR,1.0077777777777783
TULLIBARDINE,BBF,0.9223346875346877
